brand,product_count,amazon_count,flipkart_count,platform_presence
Ovista WIRED,1,0,1,flipkart
OnePlus Bullets,1,1,0,amazon
Missha TIME,1,0,1,flipkart
Moiz Daily,1,0,1,flipkart
NIVEA Cocoa,1,0,1,flipkart
PunnkFunnk,1,0,1,flipkart
PunnkFunnk Super,1,0,1,flipkart
Pure Origin,1,1,0,amazon
Pyarana Straws,1,0,1,flipkart
R.O.A SKINCARE,1,1,0,amazon
RE' EQUIL,1,1,0,amazon
Re'equil CERAMIDE,1,0,1,flipkart
Re'equil OIL,1,0,1,flipkart
ShopVee Air,1,0,1,flipkart
Simple Hydrating,1,1,0,amazon
Pilgrim Retinol,1,0,1,flipkart
Plum,1,0,1,flipkart
Samsung Vision,1,0,1,flipkart
Primebook,1,0,1,flipkart
Portronics Muffs,1,1,0,amazon
Pond's Super,1,1,0,amazon
SANCORP,1,0,1,flipkart
SONY,1,0,1,flipkart
SPACE Vegetable,1,0,1,flipkart
Rosebee Collapsible,1,0,1,flipkart
Rhydin,1,0,1,flipkart
Techobucks Brand,1,0,1,flipkart
Techobucks,1,0,1,flipkart
Ovista,1,0,1,flipkart
Minimalist Marula,1,1,0,amazon
Minimalist Vitamin,1,1,0,amazon
Pilgrim Korean,1,1,0,amazon
Minimalist,1,0,1,flipkart
Pilgrim,1,0,1,flipkart
Parasoft Moisturizing,1,1,0,amazon
NANMOKU Primium,1,0,1,flipkart
NIVEA Body,1,0,1,flipkart
Skyplex Chopper,1,0,1,flipkart
Sony ULT,1,1,0,amazon
Sony ZX,1,1,0,amazon
Spigen Audio,1,1,0,amazon
SpinBot,1,0,1,flipkart
SpinBot BattleBudz,1,0,1,flipkart
TCL TCL,1,0,1,flipkart
TTDC,1,0,1,flipkart
RoyEnterprise Kitchen,1,0,1,flipkart
VEDRID,1,0,1,flipkart
Unique Impex,1,0,1,flipkart
Unix Wireless,1,0,1,flipkart
VEWIKZY Face,1,0,1,flipkart
Skinbless Cream,1,0,1,flipkart
Simple Kind,1,0,1,flipkart
Simple Water,1,0,1,flipkart
Thomson Phoenix,1,0,1,flipkart
Treadmill SPORTS,1,0,1,flipkart
Treadmill Sport,1,0,1,flipkart
Thomson,1,0,1,flipkart
YAROH Premium,1,0,1,flipkart
Techpunch COMFORTABLE,1,0,1,flipkart
YAROH,1,0,1,flipkart
Tesla exim,1,0,1,flipkart
