brand,mean_price,std_price,product_count,coefficient_of_variation
Neutriderm Moisturising,998.0,0.0,1,0.0
Neutrogena Hydro,850.0,0.0,1,0.0
Noise Two,1699.0,0.0,1,0.0
NowExp Silicon,178.0,0.0,1,0.0
OGGN Set,140.0,0.0,1,0.0
OMORTEX,188.0,0.0,1,0.0
OMORTEX Combo,126.0,0.0,1,0.0
OMORTEX masher,154.0,0.0,1,0.0
OPPO,21089.5,4114.65,2,0.195
OnePlus,57998.0,0.0,1,0.0
OnePlus Bullets,1999.0,0.0,1,0.0
OnePlus Nord,32572.5,8128.14,4,0.25
Onida,24499.0,0.0,1,0.0
Ovista,498.0,0.0,1,0.0
Ovista WIRED,498.0,0.0,1,0.0
PERSONAL TOUCH,679.0,0.0,1,0.0
POCO,16340.57,6589.89,14,0.403
PRIVATE CAVE,180.0,0.0,1,0.0
PTron Studio,675.67,46.19,3,0.068
Parasoft Moisturizing,189.0,0.0,1,0.0
Philips,24499.0,14849.24,2,0.606
Pilgrim,291.0,0.0,1,0.0
Pilgrim Korean,330.0,0.0,1,0.0
Pilgrim Retinol,499.0,0.0,1,0.0
Plum,321.0,0.0,1,0.0
Plum Green,304.0,168.29,2,0.554
Pond's Super,241.0,0.0,1,0.0
Portronics Muffs,1149.0,0.0,1,0.0
Primebook,26990.0,0.0,1,0.0
PunnkFunnk,924.0,0.0,1,0.0
PunnkFunnk Super,828.0,0.0,1,0.0
Pure Origin,137.0,0.0,1,0.0
Pyarana Straws,104.0,0.0,1,0.0
R.O.A SKINCARE,489.0,0.0,1,0.0
RE' EQUIL,265.0,0.0,1,0.0
REDMI,15648.0,3205.98,5,0.205
RUSHITA,144.0,19.8,2,0.138
Re'equil CERAMIDE,280.0,0.0,1,0.0
Re'equil OIL,280.0,0.0,1,0.0
Rhydin,71.0,0.0,1,0.0
Ridoy soothing,158.5,12.02,2,0.076
Rosebee Collapsible,157.0,0.0,1,0.0
RoyEnterprise Kitchen,135.0,0.0,1,0.0
Ruby Perl,117.5,0.71,2,0.006
SANCORP,130.0,0.0,1,0.0
SONY,549.0,0.0,1,0.0
SPACE Vegetable,172.0,0.0,1,0.0
SRE Premium,98.0,8.49,2,0.087
Samsung,23980.67,11883.6,6,0.496
Samsung Crystal,38240.0,9545.94,2,0.25
Samsung Galaxy,13708.83,4113.36,12,0.3
Samsung Vision,45990.0,0.0,1,0.0
Sansui,12190.0,282.84,2,0.023
ShopVee Air,120.0,0.0,1,0.0
Simple Hydrating,186.0,0.0,1,0.0
Simple Kind,334.0,0.0,1,0.0
Simple Water,317.0,0.0,1,0.0
Skinbless Cream,382.0,0.0,1,0.0
Skyplex Chopper,138.0,0.0,1,0.0
Sony,24238.25,39320.64,4,1.622
Sony ULT,14989.0,0.0,1,0.0
Sony ZX,899.0,0.0,1,0.0
Spigen Audio,2499.0,0.0,1,0.0
SpinBot,1894.0,0.0,1,0.0
SpinBot BattleBudz,980.0,0.0,1,0.0
TCL,26790.0,10184.3,3,0.38
TCL TCL,15490.0,0.0,1,0.0
TTDC,426.0,0.0,1,0.0
Techobucks,591.0,0.0,1,0.0
Techobucks Brand,453.0,0.0,1,0.0
Techpunch,296.0,1.41,2,0.005
Techpunch COMFORTABLE,298.0,0.0,1,0.0
Tesla exim,268.0,0.0,1,0.0
Thomson,9899.0,0.0,1,0.0
Thomson Phoenix,10299.0,0.0,1,0.0
Treadmill SPORTS,297.0,0.0,1,0.0
Treadmill Sport,297.0,0.0,1,0.0
UNDERATED Glow,203.0,0.0,1,0.0
URBANHUDA Premium,380.0,0.0,1,0.0
