brand,avg_price,min_price,max_price,product_count
NANMOKU Primium,270.0,270.0,270.0,1
NIVEA Body,398.0,398.0,398.0,1
NIVEA Cocoa,310.0,310.0,310.0,1
Neutriderm Moisturising,998.0,998.0,998.0,1
Neutrogena Hydro,850.0,850.0,850.0,1
Noise Two,1699.0,1699.0,1699.0,1
NowExp Silicon,178.0,178.0,178.0,1
OGGN Set,140.0,140.0,140.0,1
OMORTEX,188.0,188.0,188.0,1
OMORTEX Combo,126.0,126.0,126.0,1
OMORTEX masher,154.0,154.0,154.0,1
OPPO,21089.5,18180.0,23999.0,2
OnePlus,57998.0,57998.0,57998.0,1
OnePlus Bullets,1999.0,1999.0,1999.0,1
OnePlus Nord,32572.5,25000.0,42999.0,4
Onida,24499.0,24499.0,24499.0,1
Ovista,498.0,498.0,498.0,1
Ovista WIRED,498.0,498.0,498.0,1
PERSONAL TOUCH,679.0,679.0,679.0,1
POCO,16340.57,8999.0,35999.0,14
PRIVATE CAVE,180.0,180.0,180.0,1
PTron Studio,675.67,649.0,729.0,3
Parasoft Moisturizing,189.0,189.0,189.0,1
Philips,24499.0,13999.0,34999.0,2
Pilgrim,291.0,291.0,291.0,1
Pilgrim Korean,330.0,330.0,330.0,1
Pilgrim Retinol,499.0,499.0,499.0,1
Plum,321.0,321.0,321.0,1
Plum Green,304.0,185.0,423.0,2
Pond's Super,241.0,241.0,241.0,1
Portronics Muffs,1149.0,1149.0,1149.0,1
Primebook,26990.0,26990.0,26990.0,1
PunnkFunnk,924.0,924.0,924.0,1
PunnkFunnk Super,828.0,828.0,828.0,1
Pure Origin,137.0,137.0,137.0,1
Pyarana Straws,104.0,104.0,104.0,1
R.O.A SKINCARE,489.0,489.0,489.0,1
RE' EQUIL,265.0,265.0,265.0,1
REDMI,15648.0,12999.0,19460.0,5
RUSHITA,144.0,130.0,158.0,2
Re'equil CERAMIDE,280.0,280.0,280.0,1
Re'equil OIL,280.0,280.0,280.0,1
Rhydin,71.0,71.0,71.0,1
Ridoy soothing,158.5,150.0,167.0,2
