brand,avg_rating,product_count
VEKIN Headphone,3.7,1
ZEBRONICS Zeb-Storm,3.7,1
truke Aura,3.7,1
SpinBot BattleBudz,3.7,1
YAROH Premium,3.7,1
VEKIN HIGH,3.7,1
Worricow,3.6,1
YAROH,3.6,1
Noise Two,3.6,1
TTDC,3.6,1
Frontech Earphone,3.6,1
Logitech Zone,3.6,1
Livvouge Flour,3.6,1
Haier,3.6,1
VEDRID,3.6,1
MasterGogo Bullets,3.6,1
HP Professional,3.55,2
HOPPUP,3.5,1
Techpunch COMFORTABLE,3.5,1
Techpunch,3.5,2
BUFONA High,3.5,1
BLACK+DECKER,3.5,1
Enacfire,3.5,1
Ovista,3.5,1
Cookzella Oil,3.5,1
Techobucks Brand,3.5,1
ZEBRONICS Bro,3.5,1
Acer,3.4,1
EBook,3.4,1
Acer Smartchoice,3.3,1
Treadmill Sport,3.3,1
ACNE OC,2.7,1
BrowseBook,2.7,1
Wireless Bluetooth,2.3,1
